Date       ,AAL Adj Close       ,AAL Volume         ,DAL Adj Close       ,DAL Volume
2023-04-12 ,13.000000           ,96958800           ,33.431919           ,21581700
2023-04-13 ,12.950000           ,47388900           ,33.065300           ,37172700
2023-04-14 ,12.790000           ,27538600           ,33.461647           ,15803000
2023-04-17 ,13.100000           ,26307900           ,34.274155           ,12113600
2023-04-18 ,13.290000           ,24684700           ,35.037128           ,13113100
2023-04-19 ,13.630000           ,31596500           ,35.601921           ,11774200
2023-04-20 ,13.320000           ,24240100           ,34.323700           ,11195600
2023-04-21 ,13.400000           ,16548000           ,34.016533           , 9579200
2023-04-24 ,13.320000           ,25019800           ,33.808449           , 8452700
2023-04-25 ,12.840000           ,33615600           ,32.807674           , 9119000
2023-04-26 ,12.740000           ,33435200           ,32.450958           , 9237500
2023-04-27 ,12.880000           ,48368000           ,33.025665           , 9561500
2023-04-28 ,13.640000           ,45057400           ,33.996712           ,11108900
2023-05-01 ,13.890000           ,29101800           ,34.402969           , 9901400
2023-05-02 ,13.770000           ,22469800           ,34.214703           ,10014900
2023-05-03 ,13.790000           ,20844800           ,33.818359           ,11166100
2023-05-04 ,13.510000           ,22983700           ,32.777946           ,11694300
2023-05-05 ,13.870000           ,20608900           ,33.630093           , 8694400
2023-05-08 ,14.360000           ,34586900           ,33.887718           , 8726300
2023-05-09 ,14.470000           ,19682700           ,33.887718           , 5845700
2023-05-10 ,14.340000           ,21469100           ,33.491367           , 9025300
2023-05-11 ,14.070000           ,17049600           ,32.916668           , 7620000
2023-05-12 ,14.020000           ,16707500           ,32.926571           , 8929900
2023-05-15 ,14.280000           ,14994100           ,33.412106           , 7586600
2023-05-16 ,14.200000           ,20303200           ,33.511185           , 8646700
2023-05-17 ,14.910000           ,34905500           ,35.601921           ,16957300
2023-05-18 ,15.050000           ,21604500           ,35.562286           , 9786300
2023-05-19 ,14.820000           ,17870900           ,35.265022           , 8997500
2023-05-22 ,14.380000           ,28517200           ,35.136215           , 9021000
2023-05-23 ,14.070000           ,28899400           ,35.582100           ,10602100
2023-05-24 ,13.800000           ,30501800           ,34.611050           , 8803900
2023-05-25 ,14.380000           ,29719900           ,35.423565           , 6880100
2023-05-26 ,14.350000           ,17083800           ,35.562286           , 6703600
2023-05-30 ,14.620000           ,20424600           ,35.948723           , 8652600
2023-05-31 ,14.780000           ,31783200           ,35.998272           , 9972100
2023-06-01 ,14.700000           ,21239100           ,36.047813           , 7769000
2023-06-02 ,14.870000           ,31041300           ,36.672062           , 8924900
2023-06-05 ,14.810000           ,15399300           ,36.761238           , 8285200
2023-06-06 ,14.930000           ,15840000           ,37.296310           , 5744700
2023-06-07 ,15.160000           ,19871400           ,37.880917           ,10268900
2023-06-08 ,15.300000           ,21698100           ,38.752884           ,14879500
2023-06-09 ,15.570000           ,21126900           ,38.921333           ,14940000
2023-06-12 ,16.020000           ,28381900           ,39.832935           ,10953500
2023-06-13 ,16.309999           ,21911600           ,41.180515           ,14333300
2023-06-14 ,16.590000           ,22866000           ,41.804760           ,13048900
2023-06-15 ,16.650000           ,17235100           ,42.488464           ,14463100
2023-06-16 ,16.480000           ,22635600           ,42.399284           ,12213000
2023-06-20 ,16.320000           ,17926100           ,42.092113           ,12208700
2023-06-21 ,16.299999           ,18543400           ,42.399284           , 9063100
2023-06-22 ,16.360001           ,12694200           ,42.547913           , 7195500
2023-06-23 ,16.260000           ,24406900           ,42.468643           ,19580500
2023-06-26 ,16.440001           ,19715400           ,42.746090           ,10820000
2023-06-27 ,17.350000           ,42031500           ,45.669147           ,25947100
2023-06-28 ,17.549999           ,26466300           ,46.283489           ,17184100
2023-06-29 ,17.600000           ,20315700           ,45.887142           ,15246600
2023-06-30 ,17.940001           ,18597900           ,47.105911           ,13325700
2023-07-03 ,18.100000           ,12883700           ,47.522076           , 6305700
2023-07-05 ,18.320000           ,19351500           ,48.076962           ,10488400
2023-07-06 ,17.879999           ,25768000           ,46.897831           ,15081900
2023-07-07 ,18.350000           ,21936300           ,47.442806           ,14595500
2023-07-10 ,18.570000           ,21371900           ,48.017506           ,10141000
2023-07-11 ,18.799999           ,23613200           ,48.215683           , 9937300
